armrest_numstrokes,backrest_numstrokes,beak_numstrokes,body_numstrokes,bumper_numstrokes,door_numstrokes,ear_numstrokes,eye_numstrokes,feet_numstrokes,head_numstrokes,headlight_numstrokes,hood_numstrokes,leg_numstrokes,mouth_numstrokes,neck_numstrokes,paw_numstrokes,seat_numstrokes,tail_numstrokes,trunk_numstrokes,unknown_numstrokes,wheel_numstrokes,window_numstrokes,windshield_numstrokes,wing_numstrokes,armrest_total_arclength,backrest_total_arclength,beak_total_arclength,body_total_arclength,bumper_total_arclength,door_total_arclength,ear_total_arclength,eye_total_arclength,feet_total_arclength,head_total_arclength,headlight_total_arclength,hood_total_arclength,leg_total_arclength,mouth_total_arclength,neck_total_arclength,paw_total_arclength,seat_total_arclength,tail_total_arclength,trunk_total_arclength,unknown_total_arclength,wheel_total_arclength,window_total_arclength,windshield_total_arclength,wing_total_arclength
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3180,0,0,0,0
0,0,0,3,0,0,0,2,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1251,0,0,0,10,108,0,0,0,186,0,0,0,0,0,0,0,0,0,0,87
0,0,1,3,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1344,0,0,0,6,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,9,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1938,0,0,0,18,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9,0,0,0,0,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,0,0,0,0,285,358,0,0,327,0,0,0,0,0,0,0,0,0,0,0
0,0,1,3,0,0,0,0,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,42,672,0,0,0,0,173,590,0,0,399,0,0,0,0,0,0,0,0,0,0,0
0,0,2,3,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,53,699,0,0,0,0,94,1202,0,0,168,0,0,0,0,0,0,0,0,0,0,0
0,0,1,3,0,0,0,2,0,2,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,127,549,0,0,0,10,0,496,0,0,342,0,0,0,0,228,0,0,0,0,0,0
0,0,0,6,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,0,0,0,0,101,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082,0,0,0,0,118,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9,0,0,0,2,4,2,0,0,6,0,0,0,0,4,0,0,0,0,0,4,0,0,0,813,0,0,0,20,72,300,0,0,432,0,0,0,0,1096,0,0,0,0,0,112
0,0,0,3,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,0,0,0,0,149,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
